Driver ID,Name,Age,Gender,Years of Driving Experience,Location,Occupation,Marital Status,Socioeconomic Status,Driver's License,Accident Type,Accident Location,Date,Time,Weather Conditions,Road Conditions,Accident Severity,Average Speed,Traffic Signal Violations,Distracted Driving Frequency,Traffic Violations,Training Programs,Training Hours,Certifications,Vehicle Type,Vehicle Make,Vehicle Model,Vehicle Year,Road Type,Speed Limit,Traffic Signs Present,Road Conditions,Distance Traveled (km),Seatbelt Usage
11,Mahira Ahmed,33,Female,13,Islamabad,Accountant,Married,Middle Class,Yes,Rear-end Collision,Blue Area,9/14/2022,12:40,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,20,Defensive Driving,SUV,Honda,CR-V,2020,Urban,50 km/h,Yes,No Construction Zone,700,Yes
12,Farhan Ali,45,Male,22,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Ferozepur Road,7/18/2022,9:00,Foggy,Wet,Injuries,50,1,High,3,None,0,None,Sedan,Toyota,Corolla,2021,Urban,60 km/h,Yes,No Construction Zone,600,Yes
13,Aisha Ahmed,29,Female,7,Karachi,Engineer,Single,Middle Class,Yes,Rear-end Collision,Clifton,7/18/2022,17:30,Sunny,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2021,Urban,50 km/h,Yes,No Construction Zone,400,Yes
14,Waqas Khan,36,Male,18,Islamabad,Lawyer,Married,Upper Class,Yes,Intersection Collision,Jinnah Avenue,7/18/2022,8:15,Rainy,Wet,Injuries,50,1,High,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2020,Urban,50 km/h,Yes,No Construction Zone,800,Yes
15,Hina Malik,38,Female,16,Lahore,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Mall Road,4/17/2022,14:50,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2019,Urban,50 km/h,Yes,No Construction Zone,700,Yes
16,Imran Ahmed,34,Male,11,Karachi,Engineer,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,4/17/2022,11:10,Foggy,Wet,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Toyota,Vitz,2021,Urban,50 km/h,Yes,No Construction Zone,300,Yes
17,Sara Khan,26,Female,6,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,2/14/2022,17:20,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,City,2020,Urban,50 km/h,Yes,No Construction Zone,500,Yes
18,Usman Khan,43,Male,21,Lahore,Business Owner,Married,Upper Middle Class,Yes,Rear-end Collision,Main Boulevard,7/18/2022,9:40,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Sedan,Toyota,Corolla,2019,Urban,50 km/h,Yes,No Construction Zone,400,Yes
19,Fatima Ahmed,30,Female,9,Karachi,Doctor,Single,Middle Class,Yes,Rear-end Collision,Shahrah-e-Faisal,7/18/2022,10:15,Sunny,Dry,Property Damage,60,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2018,Urban,50 km/h,Yes,No Construction Zone,700,Yes
20,Ahmad Khan,51,Male,29,Peshawar,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,University Road,11/14/2021,14:30,Clear,Dry,Property Damage,65,0,Low,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2019,Highway,100 km/h,Yes,No Construction Zone,1500,Yes
21,Amina Malik,32,Female,14,Islamabad,Lawyer,Married,Upper Class,Yes,Rear-end Collision,Blue Area,9/14/2022,9:50,Rainy,Wet,Injuries,50,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2020,Urban,50 km/h,Yes,No Construction Zone,800,Yes
22,Hassan Ali,46,Male,23,Lahore,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Jail Road,9/14/2022,16:05,Sunny,Dry,Property Damage,60,1,Low,3,None,0,None,SUV,Toyota,Prado,2018,Urban,50 km/h,Yes,No Construction Zone,800,Yes
23,Sana Ahmed,28,Female,7,Karachi,Engineer,Single,Middle Class,Yes,Rear-end Collision,Clifton,7/18/2022,17:40,Sunny,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2020,Urban,50 km/h,Yes,No Construction Zone,400,Yes
24,Imran Khan,35,Male,12,Islamabad,Lawyer,Married,Upper Class,Yes,Intersection Collision,Jinnah Avenue,7/18/2022,8:30,Rainy,Wet,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2019,Urban,50 km/h,Yes,No Construction Zone,800,Yes
25,Hira Malik,39,Female,15,Lahore,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Mall Road,7/18/2022,15:50,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2018,Urban,50 km/h,Yes,No Construction Zone,700,Yes
26,Khurram Ali,33,Male,10,Karachi,Engineer,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,4/17/2022,12:20,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Toyota,Vitz,2020,Urban,50 km/h,Yes,No Construction Zone,300,Yes
27,Sara Ahmed,27,Female,6,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,4/17/2022,17:10,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,City,2019,Urban,50 km/h,Yes,No Construction Zone,500,Yes
28,Ali Khan,44,Male,20,Lahore,Business Owner,Married,Upper Middle Class,Yes,Rear-end Collision,Main Boulevard,2/14/2022,9:30,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Sedan,Toyota,Corolla,2018,Urban,50 km/h,Yes,No Construction Zone,400,Yes
29,Maryam Ahmed,31,Female,8,Karachi,Doctor,Single,Middle Class,Yes,Rear-end Collision,Shahrah-e-Faisal,7/18/2022,10:05,Sunny,Dry,Property Damage,60,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2018,Urban,50 km/h,Yes,No Construction Zone,700,Yes
30,Ahmed Khan,52,Male,30,Peshawar,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,University Road,7/18/2022,14:10,Clear,Dry,Property Damage,65,0,Low,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2018,Highway,100 km/h,Yes,No Construction Zone,1500,Yes
31,Ayesha Malik,34,Female,15,Islamabad,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Mall Road,11/14/2021,18:20,Rainy,Wet,Fatalities,65,1,High,2,Defensive Driving Course,25,Defensive Driving,Minivan,Changhan,Star,2022,Urban,60 km/h,Yes,No Construction Zone,800,Yes
32,Ahmed Khan,47,Male,25,Karachi,Business Owner,Married,Upper Class,Yes,Intersection Collision,KDA Chowrangi,9/14/2022,8:45,Sunny,Dry,Property Damage,55,1,Moderate,2,None,0,None,SUV,Toyota,Prado,2017,Urban,50 km/h,Yes,No Construction Zone,600,Yes
33,Zara Ahmed,40,Female,17,Islamabad,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,F-7 Markaz,9/14/2022,11:55,Sunny,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2019,Urban,50 km/h,Yes,No Construction Zone,400,Yes
34,Saad Malik,29,Male,9,Lahore,Engineer,Single,Middle Class,Yes,Rear-end Collision,Canal Road,7/18/2022,17:35,Sunny,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,City,2019,Urban,50 km/h,Yes,No Construction Zone,500,Yes
35,Sameera Khan,42,Female,19,Karachi,Lawyer,Married,Upper Class,Yes,Rear-end Collision,Clifton,7/18/2022,8:20,Rainy,Wet,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Honda,Civic,2019,Urban,50 km/h,Yes,No Construction Zone,700,Yes
36,Ali Ahmed,31,Male,11,Islamabad,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Blue Area,7/18/2022,13:45,Sunny,Dry,Property Damage,60,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2018,Urban,50 km/h,Yes,No Construction Zone,800,Yes
37,Saba Malik,37,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Mall Road,4/17/2022,16:50,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2017,Urban,50 km/h,Yes,No Construction Zone,700,Yes
38,Asad Ali,30,Male,10,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,4/17/2022,12:15,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2017,Urban,50 km/h,Yes,No Construction Zone,400,Yes
39,Sofia Ahmed,28,Female,5,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,2/14/2022,17:30,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2016,Urban,50 km/h,Yes,No Construction Zone,500,Yes
40,Kamran Khan,53,Male,28,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Main Boulevard,7/18/2022,9:15,Sunny,Dry,Property Damage,55,1,Moderate,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2017,Urban,50 km/h,Yes,No Construction Zone,800,Yes
41,Samina Khan,38,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Shahrah-e-Faisal,7/18/2022,18:45,Rainy,Wet,Injuries,50,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2016,Urban,50 km/h,Yes,No Construction Zone,800,Yes
42,Salman Ahmed,32,Male,13,Islamabad,Doctor,Married,Upper Middle Class,Yes,Rear-end Collision,Jinnah Avenue,11/14/2021,12:30,Sunny,Dry,Property Damage,55,0,Low,1,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2016,Urban,50 km/h,Yes,No Construction Zone,700,Yes
43,Aisha Malik,36,Female,18,Lahore,Engineer,Married,Upper Middle Class,Yes,Side Swipe Collision,Mall Road,9/14/2022,14:40,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2015,Urban,50 km/h,Yes,No Construction Zone,700,Yes
44,Farhan Ali,29,Male,9,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,9/14/2022,10:55,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2015,Urban,50 km/h,Yes,No Construction Zone,400,Yes
45,Zainab Ahmed,43,Female,24,Islamabad,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Blue Area,7/18/2022,12:10,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2015,Urban,50 km/h,Yes,No Construction Zone,800,Yes
46,Saima Malik,38,Female,17,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,7/18/2022,14:25,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2014,Urban,50 km/h,Yes,No Construction Zone,700,Yes
47,Asad Ahmed,31,Male,11,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,7/18/2022,10:50,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2014,Urban,50 km/h,Yes,No Construction Zone,400,Yes
48,Sophia Ahmed,30,Female,10,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,4/17/2022,17:25,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2013,Urban,50 km/h,Yes,No Construction Zone,500,Yes
49,Bilal Khan,54,Male,32,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Main Boulevard,4/17/2022,9:05,Sunny,Dry,Property Damage,55,1,Moderate,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2013,Urban,50 km/h,Yes,No Construction Zone,800,Yes
50,Samira Khan,39,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Shahrah-e-Faisal,2/14/2022,18:35,Rainy,Wet,Injuries,50,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2013,Urban,50 km/h,Yes,No Construction Zone,800,Yes
51,Saad Ahmed,33,Male,15,Islamabad,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,7/18/2022,12:20,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2013,Urban,50 km/h,Yes,No Construction Zone,700,Yes
52,Sara Malik,35,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,7/18/2022,14:50,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2012,Urban,50 km/h,Yes,No Construction Zone,700,Yes
53,Ahmed Ali,29,Male,9,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,11/14/2021,10:45,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2012,Urban,50 km/h,Yes,No Construction Zone,400,Yes
54,Ayesha Ahmed,43,Female,23,Islamabad,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Blue Area,9/14/2022,12:00,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2012,Urban,50 km/h,Yes,No Construction Zone,800,Yes
55,Sana Malik,37,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,9/14/2022,14:35,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2011,Urban,50 km/h,Yes,No Construction Zone,700,Yes
56,Asim Ahmed,31,Male,10,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,7/18/2022,10:40,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2011,Urban,50 km/h,Yes,No Construction Zone,400,Yes
57,Maria Ahmed,30,Female,9,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,7/18/2022,17:20,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2010,Urban,50 km/h,Yes,No Construction Zone,500,Yes
58,Imran Khan,55,Male,32,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Main Boulevard,7/18/2022,9:00,Sunny,Dry,Property Damage,55,1,Moderate,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2010,Urban,50 km/h,Yes,No Construction Zone,800,Yes
59,Salma Khan,39,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Shahrah-e-Faisal,4/17/2022,18:30,Rainy,Wet,Injuries,50,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2010,Urban,50 km/h,Yes,No Construction Zone,800,Yes
60,Usman Ahmed,34,Male,15,Islamabad,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,4/17/2022,12:15,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2010,Urban,50 km/h,Yes,No Construction Zone,700,Yes
61,Sadia Malik,37,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,2/14/2022,14:40,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2009,Urban,50 km/h,Yes,No Construction Zone,700,Yes
62,Usama Ali,30,Male,9,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,7/18/2022,10:35,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2009,Urban,50 km/h,Yes,No Construction Zone,400,Yes
63,Amina Ahmed,44,Female,23,Islamabad,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Blue Area,7/18/2022,11:55,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2009,Urban,50 km/h,Yes,No Construction Zone,800,Yes
64,Farah Malik,36,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,11/14/2021,14:30,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2008,Urban,50 km/h,Yes,No Construction Zone,700,Yes
65,Usman Ahmed,32,Male,10,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,9/14/2022,10:25,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2008,Urban,50 km/h,Yes,No Construction Zone,400,Yes
66,Fatima Ahmed,31,Female,8,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,9/14/2022,17:15,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2007,Urban,50 km/h,Yes,No Construction Zone,500,Yes
67,Fahad Khan,56,Male,31,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Main Boulevard,7/18/2022,8:55,Sunny,Dry,Property Damage,55,1,Moderate,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2007,Urban,50 km/h,Yes,No Construction Zone,800,Yes
68,Sameera Khan,40,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Shahrah-e-Faisal,7/18/2022,18:25,Rainy,Wet,Property Damage,50,0,Low,1,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2007,Urban,50 km/h,Yes,No Construction Zone,800,Yes
69,Hassan Ahmed,35,Male,15,Islamabad,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,7/18/2022,12:10,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2007,Urban,50 km/h,Yes,No Construction Zone,700,Yes
70,Samina Malik,38,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,4/17/2022,14:20,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2006,Urban,50 km/h,Yes,No Construction Zone,700,Yes
71,Imran Ahmed,30,Male,9,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,4/17/2022,10:15,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2006,Urban,50 km/h,Yes,No Construction Zone,400,Yes
72,Ayesha Ali,45,Female,22,Islamabad,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Blue Area,2/14/2022,11:50,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2006,Urban,50 km/h,Yes,No Construction Zone,800,Yes
73,Saba Malik,39,Female,15,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,7/18/2022,14:15,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2005,Urban,50 km/h,Yes,No Construction Zone,700,Yes
74,Umar Ahmed,33,Male,10,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,7/18/2022,10:05,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2005,Urban,50 km/h,Yes,No Construction Zone,400,Yes
75,Mahnoor Ahmed,32,Female,8,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,11/14/2021,17:10,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2004,Urban,50 km/h,Yes,No Construction Zone,500,Yes
76,Zain Khan,57,Male,30,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Main Boulevard,9/14/2022,8:50,Sunny,Dry,Property Damage,55,1,Moderate,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2004,Urban,50 km/h,Yes,No Construction Zone,800,Yes
77,Hina Khan,41,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Shahrah-e-Faisal,9/14/2022,18:15,Rainy,Wet,Property Damage,50,0,Low,1,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2004,Urban,50 km/h,Yes,No Construction Zone,800,Yes
78,Kashif Ahmed,36,Male,15,Islamabad,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,7/18/2022,12:05,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2004,Urban,50 km/h,Yes,No Construction Zone,700,Yes
79,Sadaf Malik,37,Female,16,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,7/18/2022,14:10,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2003,Urban,50 km/h,Yes,No Construction Zone,700,Yes
80,Omar Ahmed,31,Male,9,Karachi,Business Owner,Single,Middle Class,Yes,Rear-end Collision,Tariq Road,7/18/2022,10:00,Clear,Dry,Property Damage,60,0,Low,1,Defensive Driving Course,15,Defensive Driving,Hatchback,Suzuki,Swift,2003,Urban,50 km/h,Yes,No Construction Zone,400,Yes
81,Sana Ali,46,Female,21,Islamabad,Doctor,Married,Upper Middle Class,Yes,Intersection Collision,Blue Area,4/17/2022,11:45,Clear,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Accord,2003,Urban,50 km/h,Yes,No Construction Zone,800,Yes
82,Iqbal Khan,39,Male,14,Lahore,Engineer,Married,Upper Middle Class,Yes,Rear-end Collision,Mall Road,4/17/2022,14:00,Sunny,Dry,Property Damage,55,1,Low,2,None,0,None,Sedan,Honda,Civic,2002,Urban,50 km/h,Yes,No Construction Zone,700,Yes
83,Ayesha Ahmed,32,Female,8,Islamabad,Teacher,Single,Lower Class,Yes,Intersection Collision,F-10 Markaz,2/14/2022,17:05,Clear,Dry,Property Damage,55,0,Low,2,Defensive Driving Course,20,Defensive Driving,Sedan,Toyota,Corolla,2001,Urban,50 km/h,Yes,No Construction Zone,500,Yes
84,Zohaib Khan,58,Male,30,Lahore,Engineer,Married,Upper Middle Class,Yes,Intersection Collision,Main Boulevard,7/18/2022,8:45,Sunny,Dry,Property Damage,55,1,Moderate,3,Defensive Driving Course,30,Defensive Driving,Sedan,Honda,Accord,2001,Urban,50 km/h,Yes,No Construction Zone,800,Yes
85,Hira Khan,42,Female,14,Karachi,Lawyer,Divorced,Upper Class,Yes,Rear-end Collision,Shahrah-e-Faisal,7/18/2022,18:05,Rainy,Wet,Property Damage,50,0,Low,1,Defensive Driving Course,20,Defensive Driving,Sedan,Honda,Civic,2001,Urban,50 km/h,Yes,No Construction Zone,800,Yes
86,Saad Ahmed,37,Male,15,Islamabad,Doctor,Married,Upper Middle Class,Yes,Side Swipe Collision,Jinnah Avenue,11/14/2021,12:00,Sunny,Dry,Property Damage,55,1,Moderate,2,Defensive Driving Course,15,Defensive Driving,Sedan,Honda,Civic,2001,Urban,50 km/h,Yes,No Construction Zone,700,Yes
